y = [0.0], E(1) = 0.3
y = [-0.0225], E(2) = 0.27750379610629033
y = [-0.0433], E(3) = 0.2567247930592839
y = [-0.0624], E(4) = 0.23756048930975152
y = [-0.0801], E(5) = 0.21990189935571777
y = [-0.0964], E(6) = 0.20363831092202422
y = [-0.1113], E(7) = 0.18866092407185142
y = [-0.1251], E(8) = 0.1748653834845538
y = [-0.1378], E(9) = 0.16215336401994415
y = [-0.1496], E(10) = 0.1504334173427263
y = [-0.1604], E(11) = 0.1396212806366057
y = [-0.1704], E(12) = 0.12963981776856767
y = [-0.1796], E(13) = 0.12041872611106
y = [-0.1881], E(14) = 0.11189410730307933
y = [-0.196], E(15) = 0.10400797104114831
y = [-0.2033], E(16) = 0.09670771826903635
y = [-0.2101], E(17) = 0.08994563331208874
y = [-0.2163], E(18) = 0.08367840253465444
y = [-0.2221], E(19) = 0.07786666888605948
y = [-0.2275], E(20) = 0.0724746262659737
y = [-0.2325], E(21) = 0.06746965419244916
y = [-0.2372], E(22) = 0.06282199118793302
y = [-0.2415], E(23) = 0.058504444161510155
y = [-0.2455], E(24) = 0.054492130537936556
y = [-0.2492], E(25) = 0.05076224974089599
y = [-0.2527], E(26) = 0.047293880725924775
y = [-0.2559], E(27) = 0.04406780247530895
y = [-0.2589], E(28) = 0.04106633464662668
y = [-0.2617], E(29) = 0.03827319586678679
y = [-0.2643], E(30) = 0.035673377459415845
y = [-0.2667], E(31) = 0.03325303067122587
y = [-0.269], E(32) = 0.030999365715631333
y = [-0.2711], E(33) = 0.028900561176845474
y = [-0.2731], E(34) = 0.026945682515120917
y = [-0.2749], E(35) = 0.025124608585308905
y = [-0.2766], E(36) = 0.023427965228867642
y = [-0.2782], E(37) = 0.021847065126474885
y = [-0.2796], E(38) = 0.020373853207141912
y = [-0.281], E(39) = 0.019000857002663407
y = [-0.2823], E(40) = 0.01772114141563047
y = [-0.2835], E(41) = 0.01652826743707997
y = [-0.2846], E(42) = 0.015416254407895236
y = [-0.2856], E(43) = 0.014379545467802624
y = [-0.2866], E(44) = 0.013412975878511368
y = [-0.2875], E(45) = 0.012511743944290055
y = [-0.2883], E(46) = 0.011671384284987207
y = [-0.2891], E(47) = 0.010887743243946202
y = [-0.2898], E(48) = 0.010156956237082626
y = [-0.2905], E(49) = 0.009475426870127979
y = [-0.2912], E(50) = 0.008839807669153432
y = [-0.2918], E(51) = 0.008246982285347537
y = [-0.2923], E(52) = 0.007694049048962037
y = [-0.2928], E(53) = 0.007178305759619974
y = [-0.2933], E(54) = 0.006697235611039742
y = [-0.2938], E(55) = 0.006248494157853335
y = [-0.2942], E(56) = 0.0058298972407486715
y = [-0.2946], E(57) = 0.005439409793794703
y = [-0.2949], E(58) = 0.005075135464618519
y = [-0.2953], E(59) = 0.004735306984206877
y = [-0.2956], E(60) = 0.004418277228584233
y = [-0.2959], E(61) = 0.004122510919550848
y = [-0.2962], E(62) = 0.0038465769161082353
y = [-0.2964], E(63) = 0.003589141052220135
y = [-0.2967], E(64) = 0.003348959480191427
y = [-0.2969], E(65) = 0.0031248724822474094
y = [-0.2971], E(66) = 0.00291579871589398
y = [-0.2973], E(67) = 0.002720729861361848
y = [-0.2975], E(68) = 0.0025387256419302506
y = [-0.2976], E(69) = 0.0023689091901863413
y = [-0.2978], E(70) = 0.002210462735355634
y = [-0.2979], E(71) = 0.0020626235887322153
y = [-0.2981], E(72) = 0.0019246804059773748
y = [-0.2982], E(73) = 0.0017959697066490254
y = [-0.2983], E(74) = 0.0016758726327869011
y = [-0.2984], E(75) = 0.0015638119297277098
y = [-0.2985], E(76) = 0.0014592491335568836
y = [-0.2986], E(77) = 0.0013616819507497047
y = [-0.2987], E(78) = 0.0012706418165990274
y = [-0.2988], E(79) = 0.001185691620002316
y = [-0.2989], E(80) = 0.0011064235830675062
y = [-0.299], E(81) = 0.0010324572848326996
y = [-0.299], E(82) = 0.0009634378191487047
y = [-0.2991], E(83) = 0.000899034077486982
y = [-0.2992], E(84) = 0.0008389371480856389
y = [-0.2992], E(85) = 0.00078285882345136
y = [-0.2993], E(86) = 0.0007305302087979859
y = [-0.2993], E(87) = 0.0006817004245172065
y = [-0.2994], E(88) = 0.000636135396265336
y = [-0.2994], E(89) = 0.0005936167266900605
y = [-0.2994], E(90) = 0.0005539406432397143
y = [-0.2995], E(91) = 0.000516917016882501
y = [-0.2995], E(92) = 0.0004823684469176803
y = [-0.2995], E(93) = 0.00045012940739569407
y = [-0.2996], E(94) = 0.00042004545097162893
y = [-0.2996], E(95) = 0.00039197246630179317
y = [-0.2996], E(96) = 0.0003657759853623599
y = [-0.2997], E(97) = 0.0003413305373137221
y = [-0.2997], E(98) = 0.00031851904576885026
y = [-0.2997], E(99) = 0.0002972322665329985
y = [-0.2997], E(100) = 0.0002773682630879404
y = [-0.2997], E(101) = 0.00025883191727332777
y = [-0.2998], E(102) = 0.00024153447279645635
y = [-0.2998], E(103) = 0.0002253931093584849
y = [-0.2998], E(104) = 0.00021033054533620144
y = [-0.2998], E(105) = 0.00019627466710037123
y = [-0.2998], E(106) = 0.00018315818317732324
y = [-0.2998], E(107) = 0.00017091830158616483
y = [-0.2998], E(108) = 0.00015949642879231618
y = [-0.2999], E(109) = 0.000148837888828246
y = [-0.2999], E(110) = 0.00013889166122466046
y = [-0.2999], E(111) = 0.00012961013649220865
y = [-0.2999], E(112) = 0.0001209488879733156
y = [-0.2999], E(113) = 0.00011286645897007341
y = [-0.2999], E(114) = 0.00010532416411812573
y = [-0.2999], E(115) = 9.828590405769333e-05
y = [-0.2999], E(116) = 9.171799250518031e-05
y = [-0.2999], E(117) = 8.558899489724547e-05
y = [-0.2999], E(118) = 7.986957783162607e-05
y = [-0.2999], E(119) = 7.45323685795718e-05
y = [-0.2999], E(120) = 6.955182399831505e-05
y = [-0.2999], E(121) = 6.490410821136106e-05
y = [-0.2999], E(122) = 6.056697847051096e-05
y = [-0.2999], E(123) = 5.651967865283325e-05
y = [-0.2999], E(124) = 5.274283987927175e-05
y = [-0.3], E(125) = 4.9218387780491923e-05
